material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal,electronegativity_difference,atomic_concentrations
mp-1206665,La(Sn3Ru2)2,"La, Ru, Sn",3,0.0,Tetragonal,121,I-42m,0.0,True,True,0.3720961643924263,La: 0.1667; Sn: 0.5000; Ru: 0.3333
mp-571599,Ba(BiPd)2,"Ba, Bi, Pd",3,0.0,Monoclinic,11,P2_1/m,0.0,False,True,0.5797892337354632,Ba: 0.3333; Bi: 0.3333; Pd: 0.3333
mp-1080049,Sr(ZnSn)2,"Sn, Sr, Zn",3,0.0,Monoclinic,11,P2_1/m,0.0,False,True,0.4224531532213562,Sr: 0.3333; Zn: 0.3333; Sn: 0.3333
mp-1199411,La3(GaRu)2,"Ga, La, Ru",3,0.0,Monoclinic,11,P2_1/m,0.0,False,True,0.460191264584629,La: 0.6000; Ga: 0.2000; Ru: 0.2000
mp-567114,Sr(BiPd)2,"Bi, Pd, Sr",3,0.0,Monoclinic,11,P2_1/m,0.0,False,True,0.5517447074709664,Sr: 0.3333; Bi: 0.3333; Pd: 0.3333
mp-1223139,La4BiPb2,"Bi, La, Pb",3,0.0034080561904721307,Tetragonal,122,I-42d,0.0,True,True,0.5657034630999401,La: 0.5714; Bi: 0.1429; Pb: 0.2857
mp-1223111,La4Bi2Pb,"Bi, La, Pb",3,0.005964323809522831,Tetragonal,122,I-42d,0.0,True,True,0.5153758287870699,La: 0.5714; Bi: 0.2857; Pb: 0.1429
mp-1223150,La4SnBi2,"Bi, La, Sn",3,0.0019154035714299411,Tetragonal,122,I-42d,0.0,True,True,0.44576922738299535,La: 0.5714; Sn: 0.1429; Bi: 0.2857
mp-1213732,CrSn4Au,"Au, Cr, Sn",3,0.0667095831250002,Tetragonal,124,P4/mcc,0.0,True,True,0.26246692913372704,Cr: 0.1667; Sn: 0.6667; Au: 0.1667
mp-1221656,MnAl2Ni,"Al, Mn, Ni",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.14071247279470284,Mn: 0.2500; Al: 0.5000; Ni: 0.2500
mp-1216906,TiInPd2,"In, Pd, Ti",3,0.02645577750000072,Tetragonal,123,P4/mmm,0.0,True,True,0.28301943396169815,Ti: 0.2500; In: 0.2500; Pd: 0.5000
mp-1224169,HfTiRu2,"Hf, Ru, Ti",3,0.03254705500000199,Tetragonal,123,P4/mmm,0.0,True,True,0.3991240408695022,Hf: 0.2500; Ti: 0.2500; Ru: 0.5000
mp-1221728,MnCrPt6,"Cr, Mn, Pt",3,0.008186998749998509,Tetragonal,123,P4/mmm,0.0,True,True,0.29357441560871744,Mn: 0.1250; Cr: 0.1250; Pt: 0.7500
mp-1217016,TiAlCo2,"Al, Co, Ti",3,0.08672172499999853,Tetragonal,123,P4/mmm,0.0,True,True,0.15449514555480368,Ti: 0.2500; Al: 0.2500; Co: 0.5000
mp-1063566,MgSc2Ru,"Mg, Ru, Sc",3,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.3715087482146282,Mg: 0.2500; Sc: 0.5000; Ru: 0.2500
mp-1221660,MnAl2Cu,"Al, Cu, Mn",3,0.004662129930553149,Tetragonal,123,P4/mmm,0.0,True,True,0.13645054048995184,Mn: 0.2500; Al: 0.5000; Cu: 0.2500
mp-1215216,ZrNbAl6,"Al, Nb, Zr",3,0.023704568750000377,Tetragonal,123,P4/mmm,0.0,True,True,0.09218697033746147,Zr: 0.1250; Nb: 0.1250; Al: 0.7500
mp-1206867,Sc2Ga8Co,"Co, Ga, Sc",3,0.0010929618181751977,Tetragonal,123,P4/mmm,0.0,True,True,0.17768018441538236,Sc: 0.1818; Ga: 0.7273; Co: 0.0909
mp-1224798,Ga2CoNi,"Co, Ga, Ni",3,0.02207934226190389,Tetragonal,123,P4/mmm,0.0,True,True,0.04380353866983801,Ga: 0.5000; Co: 0.2500; Ni: 0.2500
mp-1228540,Al2VNi9,"Al, Ni, V",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.1271045064329174,Al: 0.1667; V: 0.0833; Ni: 0.7500
mp-1101092,Y2In8Co,"Co, In, Y",3,0.012039540606059163,Tetragonal,123,P4/mmm,0.0,False,True,0.22210116078002545,Y: 0.1818; In: 0.7273; Co: 0.0909
mp-20551,GaCo2Ni,"Co, Ga, Ni",3,0.07967344884615457,Tetragonal,123,P4/mmm,0.0,False,True,0.036742346141747616,Ga: 0.2500; Co: 0.5000; Ni: 0.2500
mp-1220329,NbAl6Mo,"Al, Mo, Nb",3,0.02669873750000029,Tetragonal,123,P4/mmm,0.0,True,True,0.1823972313386363,Nb: 0.1250; Al: 0.7500; Mo: 0.1250
mp-1217044,TiAlNi6,"Al, Ni, Ti",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.1461110450992668,Ti: 0.1250; Al: 0.1250; Ni: 0.7500
mp-1221548,MnTlRh2,"Mn, Rh, Tl",3,0.057016824166666424,Tetragonal,123,P4/mmm,0.0,True,True,0.34838018026288453,Mn: 0.2500; Tl: 0.2500; Rh: 0.5000
mp-1226004,CoNiPt2,"Co, Ni, Pt",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.1927919863479807,Co: 0.2500; Ni: 0.2500; Pt: 0.5000
mp-1222139,Mg4CdAg5,"Ag, Cd, Mg",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.2924653825668945,Mg: 0.4000; Cd: 0.1000; Ag: 0.5000
mp-1018799,MgSc3Ru2,"Mg, Ru, Sc",3,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.40226097112308684,Mg: 0.1667; Sc: 0.5000; Ru: 0.3333
mp-1217071,Ti2CuNi,"Cu, Ni, Ti",3,0.07055507499999969,Tetragonal,123,P4/mmm,0.0,True,True,0.18253424336271806,Ti: 0.5000; Cu: 0.2500; Ni: 0.2500
mp-21479,LaIn5Rh,"In, La, Rh",3,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.31797830756457685,La: 0.1429; In: 0.7143; Rh: 0.1429
