material_id,formula,elements,theoretical,valence_info,VEC_count
mp-5921,TaAlNi2,"Al, Ni, Ta",False,"Ta: 1 (Valence: 5), Al: 1 (Valence: 3), Ni: 2 (Valence: 10)",7.0
mp-1184648,HfZrFe2,"Fe, Hf, Zr",True,"Hf: 1 (Valence: 4), Zr: 1 (Valence: 4), Fe: 2 (Valence: 8)",6.0
mp-866136,Zr6Al16Ru7,"Al, Ru, Zr",False,"Zr: 6 (Valence: 4), Al: 16 (Valence: 3), Ru: 7 (Valence: 8)",4.413793103448276
mp-865010,HfGaRu2,"Ga, Hf, Ru",True,"Hf: 1 (Valence: 4), Ga: 1 (Valence: 3), Ru: 2 (Valence: 8)",5.75
mp-865592,Y2ZnRu,"Ru, Y, Zn",True,"Y: 2 (Valence: 3), Zn: 1 (Valence: 12), Ru: 1 (Valence: 8)",6.5
mp-865870,LiZr2Os,"Li, Os, Zr",True,"Li: 1 (Valence: 1), Zr: 2 (Valence: 4), Os: 1 (Valence: 8)",4.25
mp-1187740,Y2MgHg,"Hg, Mg, Y",True,"Y: 2 (Valence: 3), Mg: 1 (Valence: 2), Hg: 1 (Valence: 12)",5.0
mp-861961,TiZnRh2,"Rh, Ti, Zn",True,"Ti: 1 (Valence: 4), Zn: 1 (Valence: 12), Rh: 2 (Valence: 9)",8.5
mp-3574,MnAlCu2,"Al, Cu, Mn",False,"Mn: 1 (Valence: 7), Al: 1 (Valence: 3), Cu: 2 (Valence: 11)",8.0
mp-867807,LiYTl2,"Li, Tl, Y",True,"Li: 1 (Valence: 1), Y: 1 (Valence: 3), Tl: 2 (Valence: 3)",2.5
mp-1185421,LiZnNi2,"Li, Ni, Zn",True,"Li: 1 (Valence: 1), Zn: 1 (Valence: 12), Ni: 2 (Valence: 10)",8.25
mp-977205,NaTl2Pd,"Na, Pd, Tl",True,"Na: 1 (Valence: 1), Tl: 2 (Valence: 3), Pd: 1 (Valence: 10)",4.25
mp-977357,Ta2ReRu,"Re, Ru, Ta",True,"Ta: 2 (Valence: 5), Re: 1 (Valence: 7), Ru: 1 (Valence: 8)",6.25
mp-865469,Ti2MnRu,"Mn, Ru, Ti",True,"Ti: 2 (Valence: 4), Mn: 1 (Valence: 7), Ru: 1 (Valence: 8)",5.75
mp-867786,ScNbOs2,"Nb, Os, Sc",True,"Sc: 1 (Valence: 3), Nb: 1 (Valence: 5), Os: 2 (Valence: 8)",6.0
mp-865100,NaInHg2,"Hg, In, Na",True,"Na: 1 (Valence: 1), In: 1 (Valence: 3), Hg: 2 (Valence: 12)",7.0
mp-866188,TlCdRh2,"Cd, Rh, Tl",True,"Tl: 1 (Valence: 3), Cd: 1 (Valence: 12), Rh: 2 (Valence: 9)",8.25
mp-1183931,CsRbAu2,"Au, Cs, Rb",True,"Cs: 1 (Valence: 1), Rb: 1 (Valence: 1), Au: 2 (Valence: 11)",6.0
mp-864991,Ca2AgPb,"Ag, Ca, Pb",True,"Ca: 2 (Valence: 2), Ag: 1 (Valence: 11), Pb: 1 (Valence: 4)",4.75
mp-1194136,Ti6Ga16Co7,"Co, Ga, Ti",False,"Ti: 6 (Valence: 4), Ga: 16 (Valence: 3), Co: 7 (Valence: 9)",4.655172413793103
mp-983362,Hf2FeTc,"Fe, Hf, Tc",True,"Hf: 2 (Valence: 4), Fe: 1 (Valence: 8), Tc: 1 (Valence: 7)",5.75
mp-865247,GaFeIr2,"Fe, Ga, Ir",True,"Ga: 1 (Valence: 3), Fe: 1 (Valence: 8), Ir: 2 (Valence: 9)",7.25
mp-867897,ScTaRu2,"Ru, Sc, Ta",True,"Sc: 1 (Valence: 3), Ta: 1 (Valence: 5), Ru: 2 (Valence: 8)",6.0
mp-867172,SrMgTl2,"Mg, Sr, Tl",True,"Sr: 1 (Valence: 2), Mg: 1 (Valence: 2), Tl: 2 (Valence: 3)",2.5
mp-867803,LiCa2Cd,"Ca, Cd, Li",True,"Li: 1 (Valence: 1), Ca: 2 (Valence: 2), Cd: 1 (Valence: 12)",4.25
mp-1186966,Sc2ZnIn,"In, Sc, Zn",True,"Sc: 2 (Valence: 3), Zn: 1 (Valence: 12), In: 1 (Valence: 3)",5.25
mp-865131,Hf2OsRh,"Hf, Os, Rh",True,"Hf: 2 (Valence: 4), Os: 1 (Valence: 8), Rh: 1 (Valence: 9)",6.25
mp-1184559,HfScTc2,"Hf, Sc, Tc",True,"Hf: 1 (Valence: 4), Sc: 1 (Valence: 3), Tc: 2 (Valence: 7)",5.25
mp-865888,TiSnRu2,"Ru, Sn, Ti",True,"Ti: 1 (Valence: 4), Sn: 1 (Valence: 4), Ru: 2 (Valence: 8)",6.0
mp-862622,BeRu2W,"Be, Ru, W",True,"Be: 1 (Valence: 2), Ru: 2 (Valence: 8), W: 1 (Valence: 6)",6.0
mp-865038,HfTaTc2,"Hf, Ta, Tc",True,"Hf: 1 (Valence: 4), Ta: 1 (Valence: 5), Tc: 2 (Valence: 7)",5.75
mp-1184586,Hf2CoOs,"Co, Hf, Os",True,"Hf: 2 (Valence: 4), Co: 1 (Valence: 9), Os: 1 (Valence: 8)",6.25
mp-867127,ScCdAg2,"Ag, Cd, Sc",True,"Sc: 1 (Valence: 3), Cd: 1 (Valence: 12), Ag: 2 (Valence: 11)",9.25
mp-1184005,GaCuNi2,"Cu, Ga, Ni",True,"Ga: 1 (Valence: 3), Cu: 1 (Valence: 11), Ni: 2 (Valence: 10)",8.5
mp-1186209,Nb2TcRu,"Nb, Ru, Tc",True,"Nb: 2 (Valence: 5), Tc: 1 (Valence: 7), Ru: 1 (Valence: 8)",6.25
mp-1185902,MgNbOs2,"Mg, Nb, Os",True,"Mg: 1 (Valence: 2), Nb: 1 (Valence: 5), Os: 2 (Valence: 8)",5.75
mp-1187097,Sr2PdPt,"Pd, Pt, Sr",True,"Sr: 2 (Valence: 2), Pd: 1 (Valence: 10), Pt: 1 (Valence: 10)",6.0
mp-1186772,Ta2CrRe,"Cr, Re, Ta",True,"Ta: 2 (Valence: 5), Cr: 1 (Valence: 6), Re: 1 (Valence: 7)",5.75
mp-1185360,LiMnIr2,"Ir, Li, Mn",True,"Li: 1 (Valence: 1), Mn: 1 (Valence: 7), Ir: 2 (Valence: 9)",6.5
mp-1192479,Hf6Ga16Pd7,"Ga, Hf, Pd",False,"Hf: 6 (Valence: 4), Ga: 16 (Valence: 3), Pd: 7 (Valence: 10)",4.896551724137931
mp-867197,LiGaNi2,"Ga, Li, Ni",True,"Li: 1 (Valence: 1), Ga: 1 (Valence: 3), Ni: 2 (Valence: 10)",6.0
mp-862339,Sc2GaAg,"Ag, Ga, Sc",True,"Sc: 2 (Valence: 3), Ga: 1 (Valence: 3), Ag: 1 (Valence: 11)",5.0
