material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal,electronegativity_difference,atomic_concentrations
mp-767372,Cr8Ni50Mo15W2,"Cr, Mo, Ni, W",4,0.02753527933333544,Triclinic,1,P1,0.0,True,True,0.15270305243256352,Cr: 0.1067; Ni: 0.6667; Mo: 0.2000; W: 0.0267
mp-1223881,K7Na17(ZnSn2)4,"K, Na, Sn, Zn",4,0.0014229632448166107,Triclinic,1,P1,0.010999999999999899,True,False,0.3088369260849166,K: 0.2593; Na: 0.6296; Zn: 0.0370; Sn: 0.0741
mp-1221808,Mn4Cr(Co2Sn)5,"Co, Cr, Mn, Sn",4,0.01382587233333421,Trigonal,166,R-3m,0.0,True,True,0.16731332881752123,Mn: 0.5000; Cr: 0.1250; Co: 0.2500; Sn: 0.1250
mp-1217085,TiMn(Ni2Sn)2,"Mn, Ni, Sn, Ti",4,0.04237800097290645,Trigonal,166,R-3m,0.0,True,True,0.1878935869049287,Ti: 0.2000; Mn: 0.2000; Ni: 0.4000; Sn: 0.2000
mp-1219338,ScGa4Fe3Co8,"Co, Fe, Ga, Sc",4,0.01781968375000087,Trigonal,166,R-3m,0.0,True,True,0.12275324588376467,Sc: 0.0625; Ga: 0.2500; Fe: 0.1875; Co: 0.5000
mp-1216459,VGa2FeCo4,"Co, Fe, Ga, V",4,0.0098253899999996,Trigonal,166,R-3m,0.0,True,True,0.07952986860293433,V: 0.1250; Ga: 0.2500; Fe: 0.1250; Co: 0.5000
mp-1222191,Mn4Cr(GaCo2)5,"Co, Cr, Ga, Mn",4,0.007042455499997935,Trigonal,166,R-3m,0.0,True,True,0.14356509847452473,Mn: 0.5000; Cr: 0.1250; Ga: 0.1250; Co: 0.2500
mp-1221685,MnCr(Ni2Sn)2,"Cr, Mn, Ni, Sn",4,0.07550054402658102,Trigonal,166,R-3m,0.0,True,True,0.1624068964052943,Mn: 0.2000; Cr: 0.2000; Ni: 0.4000; Sn: 0.2000
mp-1228949,Al2CrFeCo4,"Al, Co, Cr, Fe",4,0.03707323874999968,Trigonal,166,R-3m,0.0,True,True,0.11973277537917504,Al: 0.2500; Cr: 0.1250; Fe: 0.1250; Co: 0.5000
mp-1221859,Mn2InCu4Sn,"Cu, In, Mn, Sn",4,0.08784457635057308,Trigonal,166,R-3m,0.0,True,True,0.15443445211480494,Mn: 0.2500; In: 0.1250; Cu: 0.5000; Sn: 0.1250
mp-1221820,Mn2InSnPd4,"In, Mn, Pd, Sn",4,0.0,Trigonal,166,R-3m,0.0,True,True,0.27358728040608915,Mn: 0.2500; In: 0.1250; Sn: 0.1250; Pd: 0.5000
mp-1224422,Hf3Ga3Pd2Pt,"Ga, Hf, Pd, Pt",4,0.0,Hexagonal,174,P-6,0.0,True,True,0.37957416035588687,Hf: 0.3333; Ga: 0.3333; Pd: 0.2222; Pt: 0.1111
mp-1216500,Zr2Mn12GaSn11,"Ga, Mn, Sn, Zr",4,0.008822236153846141,Hexagonal,187,P-6m2,0.0,True,True,0.22295122453287858,Zr: 0.0769; Mn: 0.4615; Ga: 0.0385; Sn: 0.4231
mp-1215316,ZrMn6GaSn5,"Ga, Mn, Sn, Zr",4,0.0,Hexagonal,187,P-6m2,0.0,True,True,0.21847237242908515,Zr: 0.0769; Mn: 0.4615; Ga: 0.0769; Sn: 0.3846
mp-1222950,LaFeCuNi3,"Cu, Fe, La, Ni",4,0.05586676624999409,Hexagonal,187,P-6m2,0.0,True,True,0.29653555155045624,La: 0.1667; Fe: 0.1667; Cu: 0.1667; Ni: 0.5000
mp-1222882,LaMnAlNi3,"Al, La, Mn, Ni",4,0.042025182219824764,Hexagonal,187,P-6m2,0.0,True,True,0.293129664141997,La: 0.1667; Mn: 0.1667; Al: 0.1667; Ni: 0.5000
mp-1222984,LaAlCuNi3,"Al, Cu, La, Ni",4,0.03454221095238186,Hexagonal,187,P-6m2,0.0,True,True,0.2992026440762551,La: 0.1667; Al: 0.1667; Cu: 0.1667; Ni: 0.5000
