material_id,formula,elements,theoretical,valence_info,VEC_count
mp-1215264,ZrScVNi3,"Ni, Sc, V, Zr",True,"Zr: 1 (Valence: 4), Sc: 1 (Valence: 3), V: 1 (Valence: 5), Ni: 3 (Valence: 10)",7.0
mp-1215226,ZrScMnNi3,"Mn, Ni, Sc, Zr",True,"Zr: 1 (Valence: 4), Sc: 1 (Valence: 3), Mn: 1 (Valence: 7), Ni: 3 (Valence: 10)",7.333333333333333
mp-1215369,Zr4Sc(NiSn)5,"Ni, Sc, Sn, Zr",True,"Zr: 4 (Valence: 4), Sc: 1 (Valence: 3), Ni: 1 (Valence: 10), Sn: 1 (Valence: 4)",4.714285714285714
mp-1215239,ZrSc(NiSn)2,"Ni, Sc, Sn, Zr",True,"Zr: 1 (Valence: 4), Sc: 1 (Valence: 3), Ni: 1 (Valence: 10), Sn: 1 (Valence: 4)",5.25
mp-1219264,ScTi(NiSn)2,"Ni, Sc, Sn, Ti",True,"Sc: 1 (Valence: 3), Ti: 1 (Valence: 4), Ni: 1 (Valence: 10), Sn: 1 (Valence: 4)",5.25
mp-1224252,Na34Cd6Ga92Cu7,"Cd, Cu, Ga, Na",True,"Na: 34 (Valence: 1), Cd: 6 (Valence: 12), Ga: 92 (Valence: 3), Cu: 7 (Valence: 11)",3.302158273381295
mp-1216272,Y16Mg3AlNi4,"Al, Mg, Ni, Y",True,"Y: 16 (Valence: 3), Mg: 3 (Valence: 2), Al: 1 (Valence: 3), Ni: 4 (Valence: 10)",4.041666666666667
mp-1221873,Mn3V2Ga2Co,"Co, Ga, Mn, V",True,"Mn: 3 (Valence: 7), V: 2 (Valence: 5), Ga: 2 (Valence: 3), Co: 1 (Valence: 9)",5.75
mp-767372,Cr8Ni50Mo15W2,"Cr, Mo, Ni, W",True,"Cr: 8 (Valence: 6), Ni: 50 (Valence: 10), Mo: 15 (Valence: 6), W: 2 (Valence: 6)",8.666666666666666
mp-1223881,K7Na17(ZnSn2)4,"K, Na, Sn, Zn",True,"K: 7 (Valence: 1), Na: 17 (Valence: 1), Zn: 1 (Valence: 12), Sn: 2 (Valence: 4)",1.6296296296296295
mp-1221808,Mn4Cr(Co2Sn)5,"Co, Cr, Mn, Sn",True,"Mn: 4 (Valence: 7), Cr: 1 (Valence: 6), Co: 2 (Valence: 9), Sn: 1 (Valence: 4)",7.0
mp-1217085,TiMn(Ni2Sn)2,"Mn, Ni, Sn, Ti",True,"Ti: 1 (Valence: 4), Mn: 1 (Valence: 7), Ni: 2 (Valence: 10), Sn: 1 (Valence: 4)",7.0
mp-1219338,ScGa4Fe3Co8,"Co, Fe, Ga, Sc",True,"Sc: 1 (Valence: 3), Ga: 4 (Valence: 3), Fe: 3 (Valence: 8), Co: 8 (Valence: 9)",6.9375
mp-1216459,VGa2FeCo4,"Co, Fe, Ga, V",True,"V: 1 (Valence: 5), Ga: 2 (Valence: 3), Fe: 1 (Valence: 8), Co: 4 (Valence: 9)",6.875
mp-1222191,Mn4Cr(GaCo2)5,"Co, Cr, Ga, Mn",True,"Mn: 4 (Valence: 7), Cr: 1 (Valence: 6), Ga: 1 (Valence: 3), Co: 2 (Valence: 9)",6.875
mp-1221685,MnCr(Ni2Sn)2,"Cr, Mn, Ni, Sn",True,"Mn: 1 (Valence: 7), Cr: 1 (Valence: 6), Ni: 2 (Valence: 10), Sn: 1 (Valence: 4)",7.4
mp-1228949,Al2CrFeCo4,"Al, Co, Cr, Fe",True,"Al: 2 (Valence: 3), Cr: 1 (Valence: 6), Fe: 1 (Valence: 8), Co: 4 (Valence: 9)",7.0
mp-1221859,Mn2InCu4Sn,"Cu, In, Mn, Sn",True,"Mn: 2 (Valence: 7), In: 1 (Valence: 3), Cu: 4 (Valence: 11), Sn: 1 (Valence: 4)",8.125
mp-1221820,Mn2InSnPd4,"In, Mn, Pd, Sn",True,"Mn: 2 (Valence: 7), In: 1 (Valence: 3), Sn: 1 (Valence: 4), Pd: 4 (Valence: 10)",7.625
mp-1224422,Hf3Ga3Pd2Pt,"Ga, Hf, Pd, Pt",True,"Hf: 3 (Valence: 4), Ga: 3 (Valence: 3), Pd: 2 (Valence: 10), Pt: 1 (Valence: 10)",5.666666666666667
mp-1216500,Zr2Mn12GaSn11,"Ga, Mn, Sn, Zr",True,"Zr: 2 (Valence: 4), Mn: 12 (Valence: 7), Ga: 1 (Valence: 3), Sn: 11 (Valence: 4)",5.346153846153846
mp-1215316,ZrMn6GaSn5,"Ga, Mn, Sn, Zr",True,"Zr: 1 (Valence: 4), Mn: 6 (Valence: 7), Ga: 1 (Valence: 3), Sn: 5 (Valence: 4)",5.3076923076923075
mp-1222950,LaFeCuNi3,"Cu, Fe, La, Ni",True,"La: 1 (Valence: 3), Fe: 1 (Valence: 8), Cu: 1 (Valence: 11), Ni: 3 (Valence: 10)",8.666666666666666
