material_id,formula,elements,theoretical,valence_info
mp-865014,Mg2Cu,"Cu, Mg",True,
mp-1023610,Mg15Cu,"Cu, Mg",True,
mp-1052023,Mg2Cu,"Cu, Mg",True,
mp-2672345,MgCu,"Cu, Mg",True,
mp-2481,Mg2Cu,"Cu, Mg",False,
mp-978279,Mg3Cu,"Cu, Mg",True,
mp-1038,MgCu2,"Cu, Mg",False,
mp-1185856,MgCu3,"Cu, Mg",True,
mp-1185860,MgCu5,"Cu, Mg",True,
mp-1094779,MgZn,"Mg, Zn",True,
mp-1094440,Mg2Zn,"Mg, Zn",True,
mp-583266,MgZn,"Mg, Zn",True,
mp-978268,MgZn,"Mg, Zn",True,
mp-1094448,Mg2Zn,"Mg, Zn",True,
mp-1094789,Mg3Zn,"Mg, Zn",True,
mp-1094458,Mg2Zn,"Mg, Zn",True,
mp-1094451,Mg3Zn,"Mg, Zn",True,
mp-1016243,Mg3Zn,"Mg, Zn",True,
