material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal,electronegativity_difference
mp-21296,PtPb4,"Pb, Pt",2,0.0,Tetragonal,125,P4/nbm,0.0,False,True,0.020000000000000108
mp-1202778,K3Cd16,"Cd, K",2,0.0,Tetragonal,126,P4/nnc,0.0,False,True,0.31723877949156276
mp-11288,Ca3Hg2,"Ca, Hg",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True,0.4898979485566356
mp-607111,AlPt3,"Al, Pt",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True,0.29011851026778684
mp-1079182,AlPt3,"Al, Pt",2,0.013525094375005153,Tetragonal,127,P4/mbm,0.0,False,True,0.29011851026778684
mp-30684,Zr3Ga2,"Ga, Zr",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True,0.2351510153071851
mp-1080493,Y3Au2,"Au, Y",2,0.04981915999999842,Tetragonal,127,P4/mbm,0.0,False,True,0.646665292094759
mp-623066,GaPt3,"Ga, Pt",2,0.0047773362500018735,Tetragonal,127,P4/mbm,0.0,True,True,0.20351596988934298
mp-20405,V2Ga5,"Ga, V",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True,0.08131571126147268
mp-1103522,Ga5W2,"Ga, W",2,0.05819230464285852,Tetragonal,127,P4/mbm,0.0,False,True,0.248464673298944
mp-759790,Ag2Hg5,"Ag, Hg",2,0.07978825095237596,Tetragonal,127,P4/mbm,0.0,True,True,0.03162277660168382
mp-1105078,Hf3In4,"Hf, In",2,0.07661191571428816,Tetragonal,127,P4/mbm,0.0,False,True,0.23753839646658886
mp-1078957,Ta3Be2,"Be, Ta",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True,0.034292856398964525
mp-607225,Mn2Ga5,"Ga, Mn",2,0.032226584285714566,Tetragonal,127,P4/mbm,0.0,False,True,0.11745602737768267
mp-20433,Ti3In4,"In, Ti",2,0.0936128061904764,Tetragonal,127,P4/mbm,0.0,False,True,0.11876919823329443
mp-30721,Hg5Pd2,"Hg, Pd",2,0.03967810749999523,Tetragonal,127,P4/mbm,0.0,False,True,0.0903507902905252
mp-13427,Sr3Hg2,"Hg, Sr",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True,0.5143928459844674
mp-568774,Ca36Sn23,"Ca, Sn",2,0.0022643168314497863,Tetragonal,127,P4/mbm,0.0671999999999997,False,False,0.46820321312341123
mp-11272,Be2Nb3,"Be, Nb",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True,0.014696938456699081
mp-1078666,GaPt3,"Ga, Pt",2,0.014097253750001926,Tetragonal,127,P4/mbm,0.0,False,True,0.20351596988934298
mp-669913,Sr2Pb3,"Pb, Sr",2,0.00764726599999932,Tetragonal,127,P4/mbm,0.0,False,True,0.6760591690081572
mp-11393,Nb3Ga2,"Ga, Nb",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True,0.10287856919689346
mp-7924,Li2Sn5,"Li, Sn",2,0.0046469228571428545,Tetragonal,127,P4/mbm,0.0,False,True,0.4427188724235731
mp-22050,Hf2In5,"Hf, In",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True,0.21684189669726028
mp-16756,Ta3Ga2,"Ga, Ta",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True,0.15186836405255708
mp-1228815,AlRe,"Al, Re",2,0.0,Tetragonal,129,P4/nmm,0.0,True,True,0.1449999999999999
mp-622570,Ti2Cu3,"Cu, Ti",2,0.0024576344999989175,Tetragonal,129,P4/nmm,0.0,False,True,0.17636326148038875
mp-998972,TiAu,"Au, Ti",2,0.0,Tetragonal,129,P4/nmm,0.0,False,True,0.5
mp-640045,Ti8Bi9,"Bi, Ti",2,0.0,Tetragonal,129,P4/nmm,0.0,False,True,0.23958441527261845
mp-1007758,HfCd,"Cd, Hf",2,0.0,Tetragonal,129,P4/nmm,0.0,False,True,0.19499999999999995
mp-999133,TaPd,"Pd, Ta",2,0.0,Tetragonal,129,P4/nmm,0.0,False,True,0.3500000000000001
mp-11239,ZrAg,"Ag, Zr",2,0.0,Tetragonal,129,P4/nmm,0.0,False,True,0.29999999999999993
mp-1067475,TiNi,"Ni, Ti",2,0.07174623499999999,Tetragonal,129,P4/nmm,0.0,True,True,0.18499999999999994
mp-2078,TiCu,"Cu, Ti",2,0.0,Tetragonal,129,P4/nmm,0.0,False,True,0.17999999999999994
mp-1007755,HfAu,"Au, Hf",2,0.0,Tetragonal,129,P4/nmm,0.0,False,True,0.62
mp-23313,InBi,"Bi, In",2,0.04432653499999617,Tetragonal,129,P4/nmm,0.0,False,True,0.12
