material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal,electronegativity_difference,atomic_concentrations
mp-1193848,Zr2Re,"Re, Zr",2,0.0844003301333327,Tetragonal,136,P4_2/mnm,0.0,False,True,0.2687,Zr: 0.6667; Re: 0.3333
mp-18614,In3Rh,"In, Rh",2,0.0,Tetragonal,136,P4_2/mnm,0.0,False,True,0.2165,In: 0.7500; Rh: 0.2500
mp-1192954,Nb2Pt,"Nb, Pt",2,0.0,Tetragonal,136,P4_2/mnm,0.0,False,True,0.3206,Nb: 0.6667; Pt: 0.3333
mp-18427,Nb2Al,"Al, Nb",2,0.0,Tetragonal,136,P4_2/mnm,0.0,False,True,0.0047,Nb: 0.6667; Al: 0.3333
mp-1193202,Mo2Ru,"Mo, Ru",2,0.04611149277777926,Tetragonal,136,P4_2/mnm,0.0,False,True,0.0189,Mo: 0.6667; Ru: 0.3333
mp-1188393,Ga3Re,"Ga, Re",2,0.0,Tetragonal,136,P4_2/mnm,0.0,False,True,0.0390,Ga: 0.7500; Re: 0.2500
mp-17974,Na3Hg2,"Hg, Na",2,0.0,Tetragonal,136,P4_2/mnm,0.0,False,True,0.5242,Na: 0.6000; Hg: 0.4000
mp-8462,Hf3Al2,"Al, Hf",2,0.03970273833332527,Tetragonal,136,P4_2/mnm,0.0,False,True,0.1519,Hf: 0.6000; Al: 0.4000
mp-16723,Y3Al2,"Al, Y",2,0.0034791360000010485,Tetragonal,136,P4_2/mnm,0.0,False,True,0.1911,Y: 0.6000; Al: 0.4000
mp-672204,Ga3Ru,"Ga, Ru",2,0.0,Tetragonal,136,P4_2/mnm,0.0,False,True,0.1689,Ga: 0.7500; Ru: 0.2500
mp-510494,La5Sn3,"La, Sn",2,0.0,Tetragonal,140,I4/mcm,0.0,False,True,0.4163,La: 0.6250; Sn: 0.3750
mp-328,Zr2Ni,"Ni, Zr",2,0.0,Tetragonal,140,I4/mcm,0.0,False,True,0.2734,Zr: 0.6667; Ni: 0.3333
mp-570293,Nb5Ga3,"Ga, Nb",2,0.016266065937500684,Tetragonal,140,I4/mcm,0.0,False,True,0.1017,Nb: 0.6250; Ga: 0.3750
mp-569833,Zr2Ga,"Ga, Zr",2,0.0,Tetragonal,140,I4/mcm,0.0,False,True,0.2263,Zr: 0.6667; Ga: 0.3333
mp-542484,Sr5Cd3,"Cd, Sr",2,0.0,Tetragonal,140,I4/mcm,0.0,False,True,0.3583,Sr: 0.6250; Cd: 0.3750
mp-1080448,AlPt3,"Al, Pt",2,0.0024148456250046024,Tetragonal,140,I4/mcm,0.0,False,True,0.2901,Al: 0.2500; Pt: 0.7500
mp-17720,Sr5Sn3,"Sn, Sr",2,0.003021452500000521,Tetragonal,140,I4/mcm,0.0,False,True,0.4890,Sr: 0.6250; Sn: 0.3750
mp-570362,Sr5In3,"In, Sr",2,0.00672603554228024,Tetragonal,140,I4/mcm,0.0,False,True,0.4018,Sr: 0.6250; In: 0.3750
mp-16724,Zr5Al3,"Al, Zr",2,0.022739610249995934,Tetragonal,140,I4/mcm,0.0,False,True,0.1356,Zr: 0.6250; Al: 0.3750
mp-861,Hf2Ni,"Hf, Ni",2,0.013278753333331395,Tetragonal,140,I4/mcm,0.0,False,True,0.2876,Hf: 0.6667; Ni: 0.3333
