material_id,formula,elements,theoretical,valence_info
mp-31286,K3Bi,"Bi, K",False,"K: 3 (Valence: 1), Bi: 1 (Valence: 5)"
mp-31104,KBi,"Bi, K",False,"K: 1 (Valence: 1), Bi: 1 (Valence: 5)"
mp-569940,K3Bi,"Bi, K",False,"K: 3 (Valence: 1), Bi: 1 (Valence: 5)"
mp-568516,K3Bi,"Bi, K",False,"K: 3 (Valence: 1), Bi: 1 (Valence: 5)"
mp-1206573,K3Bi2,"Bi, K",True,"K: 3 (Valence: 1), Bi: 2 (Valence: 5)"
mp-23279,KBi2,"Bi, K",False,"K: 1 (Valence: 1), Bi: 2 (Valence: 5)"
mp-1205955,K5Bi4,"Bi, K",True,"K: 5 (Valence: 1), Bi: 4 (Valence: 5)"
mp-1223773,K5Bi4,"Bi, K",True,"K: 5 (Valence: 1), Bi: 4 (Valence: 5)"
mp-1194089,CaMn28,"Ca, Mn",False,"Ca: 1 (Valence: 2), Mn: 28 (Valence: 7)"
mp-2295,CaNi2,"Ca, Ni",False,"Ca: 1 (Valence: 2), Ni: 2 (Valence: 10)"
mp-1102167,CaNi3,"Ca, Ni",False,"Ca: 1 (Valence: 2), Ni: 3 (Valence: 10)"
mp-1101884,CaNi5,"Ca, Ni",True,"Ca: 1 (Valence: 2), Ni: 5 (Valence: 10)"
mp-774,CaNi5,"Ca, Ni",False,"Ca: 1 (Valence: 2), Ni: 5 (Valence: 10)"
mp-1105997,Ca2Ni7,"Ca, Ni",False,"Ca: 2 (Valence: 2), Ni: 7 (Valence: 10)"
mp-585949,CaCu,"Ca, Cu",False,"Ca: 1 (Valence: 2), Cu: 1 (Valence: 11)"
mp-1882,CaCu5,"Ca, Cu",False,"Ca: 1 (Valence: 2), Cu: 5 (Valence: 11)"
mp-30471,CaCu,"Ca, Cu",False,"Ca: 1 (Valence: 2), Cu: 1 (Valence: 11)"
mp-12614,Ca2Cu,"Ca, Cu",False,"Ca: 2 (Valence: 2), Cu: 1 (Valence: 11)"
mp-1039147,CaZn,"Ca, Zn",True,"Ca: 1 (Valence: 2), Zn: 1 (Valence: 12)"
mp-30483,CaZn,"Ca, Zn",False,"Ca: 1 (Valence: 2), Zn: 1 (Valence: 12)"
mp-1038828,CaZn,"Ca, Zn",True,"Ca: 1 (Valence: 2), Zn: 1 (Valence: 12)"
mp-30485,Ca3Zn,"Ca, Zn",False,"Ca: 3 (Valence: 2), Zn: 1 (Valence: 12)"
mp-13364,CaZn2,"Ca, Zn",False,"Ca: 1 (Valence: 2), Zn: 2 (Valence: 12)"
mp-1725,CaZn2,"Ca, Zn",False,"Ca: 1 (Valence: 2), Zn: 2 (Valence: 12)"
mp-1039262,CaZn3,"Ca, Zn",True,"Ca: 1 (Valence: 2), Zn: 3 (Valence: 12)"
mp-2786,Ca5Zn3,"Ca, Zn",False,"Ca: 5 (Valence: 2), Zn: 3 (Valence: 12)"
mp-1734,CaZn5,"Ca, Zn",False,"Ca: 1 (Valence: 2), Zn: 5 (Valence: 12)"
mp-18567,CaZn11,"Ca, Zn",False,"Ca: 1 (Valence: 2), Zn: 11 (Valence: 12)"
mp-672227,CaZn13,"Ca, Zn",False,"Ca: 1 (Valence: 2), Zn: 13 (Valence: 12)"
mp-1227465,Ca4Zn51,"Ca, Zn",True,"Ca: 4 (Valence: 2), Zn: 51 (Valence: 12)"
mp-6914,CaGa,"Ca, Ga",False,"Ca: 1 (Valence: 2), Ga: 1 (Valence: 3)"
mp-11284,CaGa2,"Ca, Ga",False,"Ca: 1 (Valence: 2), Ga: 2 (Valence: 3)"
mp-992,CaGa2,"Ca, Ga",False,"Ca: 1 (Valence: 2), Ga: 2 (Valence: 3)"
mp-1189870,Ca5Ga3,"Ca, Ga",False,"Ca: 5 (Valence: 2), Ga: 3 (Valence: 3)"
mp-2461,CaGa4,"Ca, Ga",False,"Ca: 1 (Valence: 2), Ga: 4 (Valence: 3)"
mp-1976,CaGa4,"Ca, Ga",False,"Ca: 1 (Valence: 2), Ga: 4 (Valence: 3)"
mp-30473,Ca3Ga5,"Ca, Ga",False,"Ca: 3 (Valence: 2), Ga: 5 (Valence: 3)"
mp-30474,Ca11Ga7,"Ca, Ga",False,"Ca: 11 (Valence: 2), Ga: 7 (Valence: 3)"
mp-12611,Ca3Ga8,"Ca, Ga",False,"Ca: 3 (Valence: 2), Ga: 8 (Valence: 3)"
mp-568793,Ca28Ga11,"Ca, Ga",False,"Ca: 28 (Valence: 2), Ga: 11 (Valence: 3)"
mp-1187176,SrCa3,"Ca, Sr",True,"Sr: 1 (Valence: 2), Ca: 3 (Valence: 2)"
mp-1218350,SrCa,"Ca, Sr",True,"Sr: 1 (Valence: 2), Ca: 1 (Valence: 2)"
mp-1187155,SrCa3,"Ca, Sr",True,"Sr: 1 (Valence: 2), Ca: 3 (Valence: 2)"
mp-1218357,SrCa,"Ca, Sr",True,"Sr: 1 (Valence: 2), Ca: 1 (Valence: 2)"
mp-1187169,SrCa3,"Ca, Sr",True,"Sr: 1 (Valence: 2), Ca: 3 (Valence: 2)"
mp-1218346,SrCa,"Ca, Sr",True,"Sr: 1 (Valence: 2), Ca: 1 (Valence: 2)"
mp-1187151,SrCa3,"Ca, Sr",True,"Sr: 1 (Valence: 2), Ca: 3 (Valence: 2)"
mp-1187110,Sr3Ca,"Ca, Sr",True,"Sr: 3 (Valence: 2), Ca: 1 (Valence: 2)"
